0|
1|pääkipu
2|mahakipu
3|ihottuma
4|ärtyisyys
5|alakulo
6|makeanhimo
7|makuaistin menetys
9|hammassärky
10|kalpeus
11|voimattomuus
12|hikoilu
13|unohtelu
14|paiseita
15|hallusinaatioita
16|hallusinaatioita
17|pistelyä
18|unettomuus
19|ilmavaivat
20|hiustenlähtö
21|uupumus
22|äkäisyys
23|maanisuus
24|kihelmöinti
25|sekavuus
26|kutina
27|vapina
28|nikottelu
29|niskasärky
30|naurattaa
31|itkettää
32|ei tunnu miltään
33|huimaus
34|ällöttää
35|oksentelu
36|yskä
37|flunssainen olo
38|valonarkuus
39|vanne kiristää päätä
40|ahdistus
41|lamaannus
42|kuumeilu
43|viluisuus
44|sormien valkoisuus
45|hourailu
46|ilmavaivat
47|yksinäisyys
48|niskajäykkyys
49|jalkojen palelu
50|jännittäminen
51|mania
